Organisation	Peering Contact	Switch	AS number	LAN	ISP (v4)	ISP (v6)	Multicast	MDX	Peers with route server	Location	Connection
"1&1 Internet AG"	"peering@1und1.de"	"pxc-nik-108"	"8560"	"ISP"	"195.69.144.220"	"2001:7f8:1::a500:8560:1"	""	""	no	"NIKHEF"	"10000baseLR"	
"@Inet Technology Consultancy BV"	"peering@atinet.nl"	"edge-glo-007"	"34215"	"ISP"	"195.69.145.40"	""	""	""	no	"Global Switch"	"100baseTX"	
"Abovenet Communications"	"peering@above.net"	"pxc-nik-104"	"6461"	"ISP"	"195.69.144.122"	""	""	""	no	"NIKHEF"	"10000baseLR"	
"Afilias Canada, Corp."	"jabley@ca.afilias.info"	"edge-glo-007"	"12041"	"ISP"	"195.69.144.190"	""	""	""	no	"Global Switch"	"100baseTX"	
"Afilias Canada, Corp."	"jabley@ca.afilias.info"	"edge-glo-007"	"12041"	"ISP"	"195.69.145.190"	""	""	""	no	"Global Switch"	"100baseTX"	
"Aicent Inc"	"noc@aicent.com"	"withheld"	"private"	"GRX"	""	""	""	""	no	"NIKHEF"	"100baseTX"	
"Aicent Inc"	"noc@aicent.com"	"withheld"	"private"	"GRX"	""	""	""	""	no	"TeleCity 2"	"100baseTX"	
"Akamai International B.V."	"peering@akamai.com"	"pxc-glo-107"	"20940"	"ISP"	"195.69.145.208"	""	""	""	yes	"Global Switch"	"20000baseLR"	
"Akamai International B.V."	"peering@akamai.com"	"pxc-nik-103"	"20940"	"ISP"	"195.69.145.208"	""	""	""	yes	"NIKHEF"	"10000baseLR"	
"Akamai International B.V."	"peering@akamai.com"	"pxc-nik-116"	"20940"	"ISP"	"195.69.144.168"	""	""	""	yes	"NIKHEF"	"40000baseLR"	
"AKTON d.o.o."	"peering@akton.net"	"withheld"	"private"	"GRX"	""	""	""	""	no	"NIKHEF"	"100baseTX"	
"Alta Tecnologia en Comunicaciones, S.L."	"peering@altecom.net"	"edge-sar-001"	"16030"	"ISP"	"195.69.144.41"	"2001:7f8:1::a501:6030:1"	""	""	yes	"SARA"	"10baseT"	
"Amsterdam Internet Exchange (route-server: radix-new)"	"peering@ams-ix.net"	"edge-eqx-009"	"1200"	"ISP"	"195.69.145.254"	"2001:7f8:1::a500:6777:4"	""	""	no	"Equinix"	"100baseTX"	
"Amsterdam Internet Exchange (rtr-eun-03)"	"peering@ams-ix.net"	"withheld"	"private"	"GRX"	""	""	""	""	no	"euNetworks"	"100baseTX"	
"Amsterdam Internet Exchange (rtr-eun-01)"	"peering@ams-ix.net"	"edge-eun-008"	"1200"	"ISP, MC"	"195.69.144.1"	"2001:7f8:1::a500:1200:1"	"195.69.146.1"	""	yes	"euNetworks"	"1000baseTX"	
"Amsterdam Internet Exchange (route-server: prefix)"	"peering@ams-ix.net"	"edge-glo-007"	"6777"	"ISP"	"195.69.144.255"	"2001:7f8:1::a500:6777:1"	""	""	no	"Global Switch"	"100baseTX"	
"Amsterdam Internet Exchange (rtr-glo-02)"	"peering@ams-ix.net"	"edge-glo-007"	"1200"	"ISP, GRX, MC"	"195.69.145.1"	"2001:7f8:1::a500:1200:2"	"195.69.146.2"	""	yes	"Global Switch"	"100baseTX"	
"Amsterdam Internet Exchange (route-server: radix)"	"peering@ams-ix.net"	"edge-sar-002"	"6777"	"ISP"	"195.69.145.0"	"2001:7f8:1::a500:6777:2"	""	""	no	"SARA"	"100baseTX"	
"Anders Business Group Ltd."	"noc@anders.ru"	"edge-tel-006"	"39792"	"ISP"	"195.69.144.119"	"2001:7f8:1::a503:9792:1"	""	""	yes	"TeleCity 2"	"1000baseLX"	
"ANO Russian Institute for Public Networks (RIPN)"	"noc@relarn.ru"	"edge-nik-004"	"5568"	"ISP"	"195.69.145.212"	"2001:7f8:1::a500:5568:1"	""	""	yes	"NIKHEF"	"1000baseSX"	
"Antel Germany GmbH"	"peering@gtsce.com"	"pxc-tel-110"	"5588"	"ISP"	"195.69.145.185"	""	""	""	yes	"TeleCity 2"	"10000baseLR"	
"Apcare Online Services"	"peering@calyx.nl"	"edge-sar-001"	"20481"	"ISP"	"195.69.144.185"	""	""	""	no	"SARA"	"1000baseSX"	
"Arcor AG & Co"	"peering@adm.arcor.net"	"pxc-nik-103"	"3209"	"ISP"	"195.69.145.123"	""	""	""	no	"NIKHEF"	"10000baseLR"	
"Arcor AG & Co"	"peering@adm.arcor.net"	"pxc-nik-112"	"3209"	""	""	""	""	""	no	"NIKHEF"	"10000baseLR"	
"Arcor AG & Co"	"peering@adm.arcor.net"	"pxc-sar-101"	"3209"	"ISP"	"195.69.144.123"	""	""	""	no	"SARA"	"10000baseER"	
"ASGCNet (Academia Sinica Grid Computing Network, Taiwan) (ASNet)"	"peering@asgc.net"	"edge-sar-001"	"24167"	"ISP"	"195.69.144.184"	""	""	""	no	"SARA"	"1000baseLX"	
"AT&T Global Network Services"	"peering@attglobal.net"	"pxc-glo-107"	"2686"	"ISP"	"195.69.144.194"	""	""	""	no	"Global Switch"	"10000baseLR"	
"AT&T Global Network Services"	"peering@attglobal.net"	"pxc-nik-108"	"2686"	"ISP"	"195.69.144.37"	""	""	""	no	"NIKHEF"	"10000baseLR"	
"ATM S.A."	"noc@atm.com.pl"	"edge-tel-005"	"24724"	"ISP"	"195.69.145.146"	""	""	""	yes	"TeleCity 2"	"1000baseLX"	
"ATM S.A."	"noc@atm.com.pl"	"edge-tel-005"	"24724"	"ISP"	"195.69.145.147"	""	""	""	yes	"TeleCity 2"	"1000baseLX"	
"B3G Telecom"	"peering@b3g-telecom.com"	"edge-tel-005"	"29204"	"ISP"	"195.69.145.158"	""	""	""	no	"TeleCity 2"	"100baseTX"	
"BBC Internet Services"	"peering@bbc.co.uk"	"edge-tel-006"	"2818"	"ISP"	"195.69.144.169"	""	""	""	no	"TeleCity 2"	"1000baseLX"	
"BBned"	"peering@bbned.nl"	"pxc-glo-109"	"15670"	"ISP"	"195.69.144.157"	""	""	""	no	"Global Switch"	"10000baseLR"	
"Belgacom International Carrier Services SA"	"peering@belgacom-ics.com"	"withheld"	"private"	"GRX"	""	""	""	""	no	"NIKHEF"	"100baseTX"	
"Belgacom International Carrier Services SA"	"peering@belgacom-ics.com"	"withheld"	"private"	"GRX"	""	""	""	""	no	"SARA"	"100baseTX"	
"Belgacom International Carrier Services SA"	"peering@belgacom-ics.com"	"pxc-nik-103"	"6774"	"ISP"	"195.69.144.87"	"2001:7f8:1::a500:6774:1"	""	""	no	"NIKHEF"	"10000baseER"	
"Belgian Network Solutions"	"peering@benesol.be"	"edge-tel-005"	"8368"	"ISP"	"195.69.145.97"	"2001:7f8:1::a500:8368:1"	""	""	yes	"TeleCity 2"	"1000baseSX"	
"BELNET"	"peering@belnet.be"	"edge-sar-002"	"2611"	"ISP"	"195.69.145.116"	"2001:7f8:1::a500:2611:1"	""	""	no	"SARA"	"1000baseLX"	
"BELNET"	"peering@belnet.be"	"edge-tel-005"	"2611"	"ISP"	"195.69.145.116"	"2001:7f8:1::a500:2611:1"	""	""	no	"TeleCity 2"	"1000baseSX"	
"BELNET"	"peering@belnet.be"	"pxc-tel-119"	"2611"	"ISP"	"195.69.144.43"	""	""	""	no	"TeleCity 2"	"10000baseLR"	
"BIT"	"peering@bit.nl"	"pxc-sar-111"	"12859"	"ISP"	"195.69.144.35"	"2001:7f8:1::a501:2859:1"	""	""	yes	"SARA"	"10000baseLR"	
"BIT"	"peering@bit.nl"	"pxc-tel-110"	"12859"	"ISP, MC"	"195.69.144.200"	"2001:7f8:1::a501:2859:2"	"195.69.146.20"	""	yes	"TeleCity 2"	"10000baseLR"	
"Bouygues Telecom"	"peering@clubint.net"	"pxc-sar-102"	"5410"	"ISP"	"195.69.144.65"	""	""	""	no	"SARA"	"10000baseER"	
"BSO Communication"	"peering@bsocom.net"	"edge-tel-005"	"31216"	"ISP"	"195.69.145.124"	""	""	""	no	"TeleCity 2"	"1000baseSX"	
"BT (IPv6)"	""	"edge-nik-004"	"5400"	"ISP"	""	"2001:7f8:1::a500:5400:1"	""	""	no	"NIKHEF"	"1000baseLX"	
"BT"	""	"edge-nik-004"	"5400"	"ISP"	"195.69.144.108"	""	""	""	no	"NIKHEF"	"4000baseSX"	
"BT"	""	"pxc-nik-116"	"5400"	"ISP"	"195.69.144.108"	""	""	""	no	"NIKHEF"	"10000baseLR"	
"Cable & Wireless Netherlands B.V."	"peering-request@cw.net"	"pxc-nik-104"	"1273"	"ISP"	"195.69.145.144"	"2001:7f8:1::a500:1273:1"	""	""	no	"NIKHEF"	"10000baseLR"	
"Cable & Wireless UK"	"3grx@cwmsg.cwplc.com"	"withheld"	"private"	"GRX"	""	""	""	""	no	"NIKHEF"	"100baseTX"	
"Cable & Wireless UK"	"3grx@cwmsg.cwplc.com"	"withheld"	"private"	"GRX"	""	""	""	""	no	"TeleCity 2"	"100baseTX"	
"CAIW Netwerken BV"	"peering@caiw.nl"	"edge-nik-003"	"15435"	""	""	""	""	""	no	"NIKHEF"	"100baseTX"	
"CAIW Netwerken BV (SIP)"	"peering@caiw.nl"	"edge-nik-003"	"15435"	""	""	""	""	""	no	"NIKHEF"	"100baseTX"	
"CAIW Netwerken BV (SIP)"	"peering@caiw.nl"	"edge-nik-004"	"15435"	""	""	""	""	""	no	"NIKHEF"	"100baseTX"	
"CAIW Netwerken BV (SIP)"	"peering@caiw.nl"	"edge-sar-002"	"15435"	""	""	""	""	""	no	"SARA"	"100baseTX"	
"CAIW Netwerken BV (SIP)"	"peering@caiw.nl"	"edge-tel-005"	"15435"	"ISP"	""	""	""	""	no	"TeleCity 2"	"100baseTX"	
"CAIW Netwerken BV"	"peering@caiw.nl"	"pxc-sar-111"	"15435"	"ISP"	"195.69.144.149"	""	""	""	no	"SARA"	"10000baseLR"	
"CAIW Netwerken BV"	"peering@caiw.nl"	"pxc-tel-110"	"15435"	"ISP"	"195.69.145.173"	""	""	""	no	"TeleCity 2"	"10000baseLR"	
"Cambrium Internet BV"	"amsix-peering@cambrium.nl"	"pxc-nik-103"	"25596"	"ISP"	"195.69.145.169"	"2001:7f8:1::a502:5596:2"	""	""	yes	"NIKHEF"	"20000baseER"	
"Cambrium Internet BV"	"amsix-peering@cambrium.nl"	"pxc-sar-111"	"25596"	"ISP"	"195.69.144.159"	"2001:7f8:1::a502:5596:1"	""	""	yes	"SARA"	"10000baseLR"	
"Carpediem (Pret en Print BV) (1610nm)"	"tech@securitetotale.com"	"edge-glo-007"	"16080"	"ISP"	"195.69.144.151"	""	""	""	yes	"Global Switch"	"1000baseLHA"	
"Caveo Internet B.V."	"peering@caveo.nl"	"edge-tel-005"	"24642"	"ISP"	"195.69.144.248"	"2001:7f8:1::a502:4642:1"	""	""	yes	"TeleCity 2"	"1000baseSX"	
"CDNetworks, Co. Ltd."	"peering@cdnetworks.com"	"pxc-glo-109"	"43303"	"ISP"	"195.69.144.191"	""	""	""	no	"Global Switch"	"10000baseLR"	
"CESNET, z.s.p.o."	"peering@cesnet.cz"	"edge-sar-001"	"2852"	"ISP"	"195.69.145.106"	""	""	""	no	"SARA"	"1000baseLX"	
"Chunghwa Telecom Co. Ltd"	"peering@twgate.net"	"edge-sar-001"	"9505"	"ISP"	"195.69.145.78"	"2001:7f8:1::a500:9505:1"	""	""	no	"SARA"	"100baseTX"	
"CITIC Telecom 1616"	"info@citic1616.com"	"withheld"	"private"	"GRX"	""	""	""	""	no	"Global Switch"	"10baseT"	
"Claranet Benelux"	"peering@claranet.nl"	"edge-nik-003"	"8426"	"ISP"	"195.69.145.228"	""	""	""	yes	"NIKHEF"	"1000baseSX"	
"Claranet Benelux"	"peering@claranet.nl"	"edge-sar-002"	"8426"	"ISP"	"195.69.144.82"	""	""	""	yes	"SARA"	"1000baseSX"	
"Cogent Communications Netherlands B.V."	"peering@cogentco.com"	"pxc-tel-105"	"174"	"ISP"	"195.69.144.124"	""	""	""	no	"TeleCity 2"	"20000baseLR"	
"Colt Telecom Group"	"peering@colt.net"	"pxc-glo-109"	"8220"	"ISP"	"195.69.144.52"	"2001:7f8:1::a500:8220:2"	""	""	no	"Global Switch"	"10000baseLR"	
