Member	IP	Datacenter	ASnr	ASmacro	PeeringContact	PeeringPolicy	MLPA	
AboveNet	193.239.116.71	NIKHEF Access	AS6461	-	peering.nl@mfn.com	Case-by-case	No	
Afilias	193.239.116.185	Telecity 2	-	-	-	-	No	
Ahoy	193.239.116.115	Spaanse Kubus	AS48392	-	-	Not ready	No	
Alphamega Hosting B.V.	193.239.116.67	Telecity 2	AS29290	-	-	On-our-initiative-only	No	
Apcare	193.239.116.117	Redbus 2E	AS34054	-	noc@apcare.net	On-our-initiative-only	No	
Apcare	193.239.116.69	Interxion AMS3	AS34054	-	noc@apcare.net	On-our-initiative-only	No	
Apcare Online Services	193.239.116.20	SARA Amsterdam	AS20481	AS-CALYXNL	peering@calyx.nl	Open	No	
Argeweb B.V.	193.239.116.79	Easynet	AS8315	-	noc@argeweb.nl	Open	Yes	
Argeweb B.V.	193.239.116.151	GlobalSwitch	AS8315	-	noc@argeweb.nl	Open	Yes	
ASP4all	193.239.116.74	Redbus 2F	AS29311	-	support@asp4all.nl	No	No	
BBned	193.239.116.116	GlobalSwitch	AS15670	AS-BBNED-AS#1	nmc@bbned.nl	Open	No	
BIT	193.239.116.33	BIT-2 Switch	AS12859	AS-BIT	peering@bit.nl	Open	Yes	
BIT	193.239.116.19	Telecity 2	AS12859	AS-BIT	peering@bit.nl	Open	Yes	
BlueDome	193.239.116.194	Spaanse Kubus	-	-	-	-	No	
Breedband Delft	193.239.116.206	Spaanse Kubus	-	-	-	-	No	
Breezz Nederland	193.239.116.195	Redbus 2E	AS41155	-	-	-	No	
CAIW Netwerken	193.239.116.29	SARA Amsterdam	AS15435	-	peering@caiw.nl	Open	No	
CAIW Netwerken	193.239.116.55	Telecity 2	AS15435	-	peering@caiw.nl	Open	No	
Cambrium	193.239.116.50	NIKHEF Core	AS25596	AS-CAMBRIUM	peering@cambrium.nl	Open	No	
Carrier2Carrier	193.239.116.5	Telecity 1	AS24753	AS-C2C-NL	peering@carrier2carrier.com	Open	Yes	
Caveo Internet	193.239.116.101	Telecity 2	AS24642	AS-CAVEO	peering@caveo.nl	Open	Yes	
CB3ROB	193.239.116.204	Alphen a/d Rijn	AS34109	AS-CB3ROB	-	-	Yes	
CJ2	193.239.116.178	Telecity 2	AS39704	-	-	-	Yes	
Compukos	193.239.116.147	NIKHEF Access	AS29028	-	larry@compukos.nl	Open	Yes	
Computel Standby	193.239.116.18	SARA Amsterdam	AS31383	AS-COMPUTEL	peering@nederland.net	Open	No	
COMSTAR-Direct CJSC	193.239.116.152	Telecity 2	AS8359	AS-MTU	ipnoc@mtu.ru	Case-by-case	No	
Concepts ICT	193.239.116.61	NIKHEF Access	AS12871	-	-	On-our-initiative-only	No	
Coolwave	193.239.116.49	NIKHEF Access	AS8918	AS-CARRIERONE	peering@carrier1.com	Open	No	
Cysonet Managed Hosting	193.239.116.36	Redbus 2F	AS25151	AS-CYSONET	noc@cysonet.com	Open	No	
Dalnet IRC	193.239.116.162	SARA Amsterdam	AS31800	-	peering@dal.net	Open	Yes	
DataCT	193.239.116.83	Interxion AMS3	AS30806	-	admin@mysmt.net	Case-by-case	Yes	
